,NEIGHBOURHOOD,IMPACTYPE,YEAR,n
116,Bay Street Corridor (76),Pedestrian Collisions,2017,12
117,Kensington-Chinatown (78),Pedestrian Collisions,2017,12
118,Moss Park (73),Pedestrian Collisions,2017,12
119,University (79),Cyclist Collisions,2017,12
120,Clairlea-Birchmount (120),Pedestrian Collisions,2017,11
121,West Humber-Clairville (1),Pedestrian Collisions,2018,18
122,Waterfront Communities-The Island (77),Pedestrian Collisions,2018,17
123,West Humber-Clairville (1),Turning Movement,2018,16
124,Bay Street Corridor (76),Pedestrian Collisions,2018,14
125,Banbury-Don Mills (42),Turning Movement,2018,13
126,Humber Heights-Westmount (8),Pedestrian Collisions,2018,12
127,Moss Park (73),Pedestrian Collisions,2018,12
128,Downsview-Roding-CFB (26),Pedestrian Collisions,2018,10
129,Kensington-Chinatown (78),Pedestrian Collisions,2018,10
130,South Riverdale (70),Pedestrian Collisions,2018,10
131,Bay Street Corridor (76),Pedestrian Collisions,2019,35
132,Wexford/Maryvale (119),Turning Movement,2019,16
133,Waterfront Communities-The Island (77),Pedestrian Collisions,2019,15
134,Banbury-Don Mills (42),Turning Movement,2019,14
135,Clairlea-Birchmount (120),Pedestrian Collisions,2019,14
136,Milliken (130),Pedestrian Collisions,2019,14
137,Downsview-Roding-CFB (26),Turning Movement,2019,13
138,L'Amoreaux (117),Pedestrian Collisions,2019,13
139,Wexford/Maryvale (119),Pedestrian Collisions,2019,13
140,Malvern (132),Pedestrian Collisions,2019,12
141,Waterfront Communities-The Island (77),Pedestrian Collisions,2020,14
142,West Hill (136),Pedestrian Collisions,2020,14
143,Downsview-Roding-CFB (26),Pedestrian Collisions,2020,11
144,Church-Yonge Corridor (75),Pedestrian Collisions,2020,10
145,York University Heights (27),Pedestrian Collisions,2020,10
146,Birchcliffe-Cliffside (122),Pedestrian Collisions,2020,9
147,Clairlea-Birchmount (120),Rear End,2020,9
148,Bedford Park-Nortown (39),Pedestrian Collisions,2020,8
149,Malvern (132),Pedestrian Collisions,2020,8
150,Moss Park (73),Pedestrian Collisions,2020,8
